video_id,mode,camera_motion,occlusion,blur,low_texture,scale_change,lighting_change,overall_quality,summary,failure_notes
apple,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/apple_online.mp4 (clip 0:50, status=completed)."
apple,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/apple_offline.mp4 (clip 0:50, status=completed)."
bmx-bumps,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/bmx-bumps_online.mp4 (clip 0:56, status=completed)."
bmx-bumps,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/bmx-bumps_offline.mp4 (clip 0:56, status=completed)."
122Eyes1950_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/122Eyes1950_512kb_online.mp4 (clip 1643:1823, status=completed)."
122Eyes1950_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/122Eyes1950_512kb_offline.mp4 (clip 1643:1823, status=completed)."
aurora_drag_race_set_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/aurora_drag_race_set_512kb_online.mp4 (clip 177:357, status=completed)."
aurora_drag_race_set_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/aurora_drag_race_set_512kb_offline.mp4 (clip 177:357, status=completed)."
CaseofSp1940_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/CaseofSp1940_512kb_online.mp4 (clip 1488:1668, status=completed)."
CaseofSp1940_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/CaseofSp1940_512kb_offline.mp4 (clip 1488:1668, status=completed)."
Designfo1956_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/Designfo1956_512kb_online.mp4 (clip 1668:1848, status=completed)."
Designfo1956_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/Designfo1956_512kb_offline.mp4 (clip 1668:1848, status=completed)."
ParkCons1938_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/ParkCons1938_512kb_online.mp4 (clip 1383:1563, status=completed)."
ParkCons1938_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/ParkCons1938_512kb_offline.mp4 (clip 1383:1563, status=completed)."
Sleepfor1950_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/Sleepfor1950_512kb_online.mp4 (clip 1930:2110, status=completed)."
Sleepfor1950_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/Sleepfor1950_512kb_offline.mp4 (clip 1930:2110, status=completed)."
Streetof1937_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/Streetof1937_512kb_online.mp4 (clip 1571:1751, status=completed)."
Streetof1937_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/Streetof1937_512kb_offline.mp4 (clip 1571:1751, status=completed)."
TipTopsi1934_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/TipTopsi1934_512kb_online.mp4 (clip 1916:2096, status=completed)."
TipTopsi1934_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/TipTopsi1934_512kb_offline.mp4 (clip 1916:2096, status=completed)."
TradingC1947_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/TradingC1947_512kb_online.mp4 (clip 1911:2091, status=completed)."
TradingC1947_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/TradingC1947_512kb_offline.mp4 (clip 1911:2091, status=completed)."
WillieSh1950_512kb,online,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/online/WillieSh1950_512kb_online.mp4 (clip 101:281, status=completed)."
WillieSh1950_512kb,offline,,,,,,,,,"Manual review pending. Output: project_results/videos/batch_collected_20260320/offline/WillieSh1950_512kb_offline.mp4 (clip 101:281, status=completed)."
